function_name,input,expected_output
to_time,"{""col1"":'11.15.00', '""col2"":'HH24.MI.SS'}",11:15:00'
to_timestamp_ltz,,
to_timestamp_ntz,todo,
to_timestamp_tz,todo,
to_varchar,"{""col1"":'2013-04-05 01:02:03', ""col2"":'mm/dd/yyyy, hh24:mi hours'}","{'04/05/2013', '01:02 hours'}"
to_varchar,"{""03-May-2013""}",3/5/2013
to_varchar,"{""col1"":""03-May-2013"", ""col2"":""yyyy.mm.dd""}",2013.05.03
to_variant,,
truncate,,
try_base64_decode_string,,
try_cast,"{""col1"":'05-Mar-2016',""col2"": 'AS TIMESTAMP'}",2016-03-05 00:00:00:000
try_cast,"{""col1"":'05/2016', ""col2"":'AS TIMESTAMP'}",NULL
try_cast,"{""col1"":'ABCD', ""col2"":'AS CHAR(2)'}",NULL
try_cast,"{""col1"":'ABCD',""col2"": 'AS VARCHAR(10)'}",ABCD
try_parse_json,,
try_to_binary,,
try_to_boolean,,
try_to_date,,
try_to_decimal,345.123,345
try_to_decimal,"{345.123, 10, 2}",345.12
try_to_decimal,"{345.123, 4, 2}",NULL
try_to_decimal,"{'$345.12', '$999.00'}",345
try_to_decimal,"{'$345.12', '$999.00', 5, 2}",345.12
try_to_decimal,"{'$345.12', 5, 2}",NULL
try_to_number,345.123,345
try_to_number,"{345.123, 10, 2}",345.12
try_to_number,"{345.123, 4, 2}",NULL
try_to_number,"{'$345.12', '$999.00'}",345
try_to_number,"{'$345.12', '$999.00', 5, 2}",345.12
try_to_number,"{'$345.12', 5, 2}",NULL
try_to_numeric,345.123,345
try_to_numeric,"{345.123, 10, 2}",345.12
try_to_numeric,"{345.123, 4, 2}",NULL
try_to_numeric,"{'$345.12', '$999.00'}",345
try_to_numeric,"{'$345.12', '$999.00', 5, 2}",345.12
try_to_numeric,"{'$345.12', 5, 2}",NULL
try_to_time,,
try_to_timestamp,,
try_to_timestamp_ntz,,
try_to_timestamp_tz,,
unicode,,
uniform,,
uuid_string,,
variance_samp,,
week,2016-01-02 23:39:20.123',53
weekiso,,
xmlget,,
yearofweek,,
yearofweekiso,,
zeroifnull,1,1
zeroifnull,NULL,0
zeroifnull,5,5
zeroifnull,0,0
zeroifnull,3.14159,3.14159
